Started GRPC Client

To alter the type, rate, SMA Channel or SMA Window, use these commands:
type <arg>
rate <arg>
channel <arg>
window <arg>

6 - TV2 Nyhet, avg muted 23.483134417s, views 5 at 15:28:05.
7 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
8 - NRK1, avg muted 21.195435557s, views 9 at 15:28:01.
9 - Showtime, avg muted 17.628188079s, views 1 at 15:27:56.
10 - TV2 HD, avg muted 15.57336908s, views 1 at 15:27:52.

1 - TV3 Norge, avg muted 51.227538225s, views 4 at 15:27:49.
2 - NRK1, avg muted 45.80044403s, views 9 at 15:28:01.
3 - NRK 3/Super, avg muted 38.528678349s, views 2 at 15:27:19.
4 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
5 - Discovery, avg muted 33.886234683s, views 2 at 15:27:25.
6 - TV2 Norge, avg muted 29.777903913s, views 9 at 15:28:14.
7 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
8 - TV2 Nyhet, avg muted 17.975461s, views 5 at 15:28:05.
9 - Showtime, avg muted 17.628188079s, views 1 at 15:27:56.
10 - TV2 HD, avg muted 15.57336908s, views 1 at 15:27:52.

1 - NRK2, avg muted 52.465838204s, views 2 at 15:27:42.
2 - TV3 Norge, avg muted 51.227538225s, views 4 at 15:27:49.
3 - NRK1, avg muted 45.80044403s, views 9 at 15:28:01.
4 - NRK 3/Super, avg muted 38.528678349s, views 2 at 15:27:19.
5 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
6 - TV2 Norge, avg muted 29.777903913s, views 10 at 15:28:22.
7 - Cartoon Network, avg muted 27.332056727s, views 1 at 15:27:57.
8 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
9 - Discovery, avg muted 18.928096914s, views 2 at 15:27:25.
10 - TV2 Nyhet, avg muted 17.975461s, views 5 at 15:28:05.

1 - NRK2, avg muted 52.465838204s, views 2 at 15:27:42.
2 - TV3 Norge, avg muted 51.227538225s, views 4 at 15:27:49.
3 - NRK1, avg muted 45.80044403s, views 9 at 15:28:01.
4 - NRK 3/Super, avg muted 38.528678349s, views 2 at 15:27:19.
5 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
6 - Cartoon Network, avg muted 27.332056727s, views 1 at 15:27:57.
7 - NRK1 HD, avg muted 25.970124204s, views 6 at 15:28:07.
8 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
9 - TV2 Norge, avg muted 20.268909469s, views 10 at 15:28:22.
10 - Discovery, avg muted 18.928096914s, views 2 at 15:27:25.

1 - NRK2, avg muted 52.465838204s, views 2 at 15:27:42.
2 - TV3 Norge, avg muted 51.227538225s, views 4 at 15:27:49.
3 - NRK1, avg muted 45.80044403s, views 9 at 15:28:01.
4 - NRK 3/Super, avg muted 38.528678349s, views 2 at 15:27:19.
5 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
6 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
7 - Cartoon Network, avg muted 27.332056727s, views 1 at 15:27:57.
8 - NRK1 HD, avg muted 25.970124204s, views 6 at 15:28:07.
9 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
10 - TV2 Norge, avg muted 20.268909469s, views 10 at 15:28:22.

1 - NRK2, avg muted 52.465838204s, views 2 at 15:27:42.
2 - TV3 Norge, avg muted 51.227538225s, views 4 at 15:27:49.
3 - NRK1, avg muted 45.80044403s, views 9 at 15:28:01.
4 - NRK 3/Super, avg muted 38.528678349s, views 2 at 15:27:19.
5 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
6 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
7 - Cartoon Network, avg muted 27.332056727s, views 1 at 15:27:57.
8 - NRK1 HD, avg muted 25.970124204s, views 6 at 15:28:07.
9 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
10 - TV2 Norge, avg muted 20.268909469s, views 10 at 15:28:22.

1 - NRK1, avg muted 1m1.792110891s, views 9 at 15:28:01.
2 - NRK2, avg muted 52.465838204s, views 2 at 15:27:42.
3 - TV3 Norge, avg muted 41.990677281s, views 4 at 15:27:49.
4 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
5 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
6 - Cartoon Network, avg muted 27.332056727s, views 1 at 15:27:57.
7 - NRK1 HD, avg muted 25.970124204s, views 6 at 15:28:07.
8 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
9 - NRK 3/Super, avg muted 20.808452432s, views 2 at 15:27:19.
10 - TV2 Norge, avg muted 20.268909469s, views 10 at 15:28:22.

1 - NRK1, avg muted 1m1.792110891s, views 9 at 15:28:01.
2 - NRK2, avg muted 52.465838204s, views 2 at 15:27:42.
3 - TV3 Norge, avg muted 41.990677281s, views 4 at 15:27:49.
4 - TV2 Sport, avg muted 36.144195013s, views 5 at 15:28:28.
5 - FEM, avg muted 33.926404593s, views 2 at 15:26:44.
6 - Cartoon Network, avg muted 27.332056727s, views 1 at 15:27:57.
7 - NRK1 HD, avg muted 25.970124204s, views 6 at 15:28:07.
8 - BBC HD, avg muted 21.963492231s, views 1 at 15:27:09.
